epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.38,2.18788,7.11649,2.44163,0.31984,0.28657,0.18835,0.1276,2.43468,4.88688,2.93332,0.0670853,0.000332472,0.000332472
2,408.96,2.20053,4.41613,2.51051,0.33844,0.29266,0.22307,0.15264,2.37473,6.07437,2.85124,0.0340851,0.000665643,0.000665643
3,604.704,2.13635,4.04918,2.46785,0.27343,0.43078,0.30163,0.21321,2.12421,4.40021,2.54398,0.0010843,0.000998163,0.000998163
4,810.388,2.06883,3.75883,2.42525,0.3523,0.49905,0.38478,0.27986,2.05647,3.5434,2.473,0.000997803,0.000997803,0.000997803
5,1017.29,2.00897,3.41862,2.39821,0.38536,0.51656,0.42448,0.31565,1.87448,2.97559,2.3396,0.000996097,0.000996097,0.000996097
6,1212.49,1.9331,3.22731,2.34374,0.49248,0.5201,0.47484,0.34485,2.05143,2.75916,2.50138,0.000993906,0.000993906,0.000993906
7,1407.9,1.89969,3.04938,2.34355,0.42369,0.598,0.49462,0.35927,2.03073,2.70221,2.42547,0.000991232,0.000991232,0.000991232
8,1603.92,1.88702,2.9036,2.32459,0.52026,0.63674,0.58455,0.42927,1.99255,2.37844,2.44944,0.000988079,0.000988079,0.000988079
9,1799.52,1.85438,2.6883,2.30983,0.57802,0.61788,0.58651,0.4375,1.90095,2.44283,2.35358,0.000984449,0.000984449,0.000984449
10,1995.04,1.84328,2.48714,2.27665,0.64876,0.62339,0.65359,0.50155,1.81587,2.11894,2.28429,0.000980345,0.000980345,0.000980345
11,2190.69,1.79584,2.36585,2.27993,0.62816,0.67841,0.67651,0.51237,1.87328,1.95302,2.31729,0.000975773,0.000975773,0.000975773
12,2386.4,1.79494,2.27613,2.26662,0.71135,0.66528,0.70374,0.53501,1.86642,1.90645,2.33105,0.000970736,0.000970736,0.000970736
13,2581.96,1.76249,2.18419,2.24874,0.6496,0.72682,0.70726,0.54447,1.81667,1.86416,2.3131,0.000965239,0.000965239,0.000965239
14,2790.42,1.74418,2.09261,2.23299,0.65366,0.75567,0.71758,0.55517,1.82399,1.75568,2.29938,0.000959289,0.000959289,0.000959289
15,3006.38,1.73465,2.02025,2.21981,0.67358,0.79408,0.75685,0.57189,1.84473,1.62852,2.2973,0.000952889,0.000952889,0.000952889
16,3202.03,1.71826,1.94217,2.21474,0.68646,0.77959,0.75505,0.56509,1.88403,1.58325,2.32055,0.000946048,0.000946048,0.000946048
17,3411.28,1.718,1.93502,2.20976,0.68696,0.76679,0.74587,0.57085,1.79913,1.62832,2.28652,0.000938772,0.000938772,0.000938772
18,3606.87,1.70213,1.88838,2.19833,0.64724,0.81957,0.76753,0.58951,1.782,1.52416,2.26688,0.000931067,0.000931067,0.000931067
19,3802.6,1.70238,1.83503,2.19685,0.73947,0.79236,0.78241,0.60299,1.75179,1.4433,2.2159,0.000922942,0.000922942,0.000922942
20,3998.52,1.70211,1.8465,2.20126,0.69822,0.82607,0.79384,0.61671,1.71862,1.45661,2.22729,0.000914405,0.000914405,0.000914405
21,4194.31,1.66449,1.76217,2.1689,0.72948,0.78728,0.77668,0.6021,1.70536,1.39736,2.19017,0.000905463,0.000905463,0.000905463
22,4402.88,1.69242,1.79154,2.17296,0.75016,0.79063,0.77768,0.60399,1.73451,1.41475,2.24041,0.000896127,0.000896127,0.000896127
23,4598.45,1.65426,1.71548,2.16521,0.73326,0.80446,0.7975,0.61887,1.71901,1.37289,2.23071,0.000886404,0.000886404,0.000886404
24,4794.21,1.65249,1.70359,2.16451,0.72935,0.80898,0.79139,0.61029,1.74302,1.35377,2.22502,0.000876305,0.000876305,0.000876305
25,4989.61,1.64005,1.68055,2.16061,0.73344,0.81278,0.79018,0.60872,1.78253,1.34954,2.24642,0.000865839,0.000865839,0.000865839
26,5185.1,1.6329,1.65966,2.15007,0.75759,0.82564,0.79666,0.60465,1.83799,1.35104,2.28026,0.000855018,0.000855018,0.000855018
27,5380.61,1.62893,1.6461,2.15432,0.75787,0.83087,0.80206,0.62925,1.69926,1.27154,2.24485,0.000843851,0.000843851,0.000843851
28,5595.73,1.63441,1.62557,2.14193,0.76203,0.83022,0.80767,0.62807,1.72369,1.26027,2.20305,0.000832349,0.000832349,0.000832349
29,5808.92,1.62001,1.59181,2.13399,0.72703,0.82986,0.79601,0.62534,1.7065,1.24267,2.18383,0.000820525,0.000820525,0.000820525
30,6004.57,1.61718,1.57067,2.14002,0.77084,0.8473,0.81387,0.62933,1.76464,1.22674,2.24984,0.000808389,0.000808389,0.000808389
31,6269.58,1.58518,1.55236,2.1273,0.73248,0.84691,0.79948,0.62021,1.73629,1.23878,2.20418,0.000795954,0.000795954,0.000795954
32,6465.39,1.5857,1.57599,2.11155,0.74149,0.86425,0.81399,0.63306,1.70231,1.20383,2.19341,0.000783231,0.000783231,0.000783231
33,6661.43,1.58288,1.53909,2.11948,0.72894,0.83458,0.80349,0.63234,1.67345,1.21267,2.18303,0.000770234,0.000770234,0.000770234
34,6856.97,1.57111,1.5288,2.1125,0.7436,0.84747,0.81837,0.64125,1.68388,1.20473,2.20042,0.000756976,0.000756976,0.000756976
35,7052.81,1.57838,1.51816,2.11297,0.74956,0.86848,0.8231,0.6495,1.64697,1.16585,2.14576,0.000743468,0.000743468,0.000743468
36,7248.69,1.56412,1.51354,2.09027,0.75648,0.8247,0.81056,0.64576,1.58003,1.19605,2.10872,0.000729725,0.000729725,0.000729725
37,7444.31,1.55504,1.50504,2.09979,0.76349,0.8596,0.82245,0.6633,1.54095,1.16008,2.08677,0.000715761,0.000715761,0.000715761
38,7664.95,1.53772,1.44809,2.08657,0.76278,0.83459,0.81107,0.65224,1.53077,1.14872,2.07039,0.000701588,0.000701588,0.000701588
39,7860.49,1.52094,1.46592,2.08395,0.7717,0.87027,0.82977,0.66524,1.55824,1.13242,2.08566,0.000687222,0.000687222,0.000687222
40,8069.26,1.51311,1.45702,2.07378,0.75778,0.86242,0.81852,0.66371,1.50575,1.11911,2.05679,0.000672675,0.000672675,0.000672675
41,8264.93,1.50213,1.42073,2.0587,0.76278,0.83985,0.81125,0.66996,1.4124,1.11575,1.99894,0.000657963,0.000657963,0.000657963
42,8473.19,1.49875,1.44414,2.06135,0.74545,0.88686,0.82293,0.67481,1.40911,1.11456,2.00044,0.000643101,0.000643101,0.000643101
43,8668.8,1.48779,1.40688,2.05079,0.77418,0.84644,0.81574,0.67463,1.41137,1.09357,1.9926,0.000628101,0.000628101,0.000628101
44,8870.05,1.4851,1.39568,2.04771,0.76673,0.8621,0.82863,0.67624,1.45942,1.10148,2.03062,0.000612981,0.000612981,0.000612981
45,9114.19,1.46009,1.38605,2.05231,0.77508,0.85795,0.82114,0.67864,1.40028,1.0744,1.99949,0.000597754,0.000597754,0.000597754
46,9310.03,1.45802,1.37209,2.04183,0.77145,0.86349,0.8204,0.67961,1.36211,1.06885,1.97512,0.000582435,0.000582435,0.000582435
47,9519.58,1.44963,1.36481,2.04895,0.79257,0.84591,0.83063,0.69143,1.33842,1.04894,1.95924,0.00056704,0.00056704,0.00056704
48,9715.53,1.42597,1.3411,2.03585,0.77164,0.87281,0.83263,0.6938,1.34431,1.04306,1.96077,0.000551584,0.000551584,0.000551584
49,9911.58,1.45397,1.33173,2.03649,0.78147,0.87792,0.83116,0.69342,1.32486,1.03782,1.95156,0.000536081,0.000536081,0.000536081
50,10108,1.42838,1.3407,2.0278,0.77924,0.86725,0.82796,0.69423,1.33938,1.03535,1.94995,0.000520548,0.000520548,0.000520548
51,10303.7,1.44324,1.32638,2.02788,0.79044,0.88689,0.8329,0.69466,1.34291,1.02704,1.95082,0.000505,0.000505,0.000505
