epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5938,2.08023,7.70022,2.24781,0.04243,0.57624,0.10802,0.07831,2.42521,6.12856,2.55562,0.0672374,0.000330935,0.000330935
2,174.283,2.13738,4.86459,2.26092,0.26755,0.21747,0.1619,0.11177,2.04405,8.16712,2.35587,0.0342372,0.000664106,0.000664106
3,258.411,2.14336,4.36521,2.27917,0.18494,0.27462,0.16659,0.10521,2.20673,6.8194,2.46013,0.00123644,0.000996627,0.000996627
4,340.302,2.10466,3.94204,2.26741,0.34545,0.36436,0.3281,0.22563,2.25946,3.79265,2.54002,0.000997803,0.000997803,0.000997803
5,423.307,2.0467,3.51328,2.22843,0.42103,0.37009,0.3458,0.26393,1.87136,3.46903,2.17305,0.000996097,0.000996097,0.000996097
6,505.721,1.97734,3.16261,2.18023,0.54059,0.45693,0.48788,0.36409,2.06271,2.8528,2.29803,0.000993906,0.000993906,0.000993906
7,588.562,1.94754,2.95813,2.15693,0.50572,0.50176,0.5104,0.38762,1.89159,2.60853,2.21506,0.000991232,0.000991232,0.000991232
8,671.848,1.92095,2.8153,2.14817,0.50761,0.47434,0.48765,0.38507,1.75571,2.73278,2.07994,0.000988079,0.000988079,0.000988079
9,756.35,1.90872,2.698,2.13474,0.56518,0.5678,0.58776,0.4393,1.95109,2.26302,2.22841,0.000984449,0.000984449,0.000984449
10,839.525,1.86916,2.56846,2.12549,0.55971,0.54867,0.56433,0.42154,1.99127,2.50793,2.25515,0.000980345,0.000980345,0.000980345
11,922.269,1.86107,2.50586,2.12853,0.63192,0.55264,0.59402,0.45759,1.8549,2.15652,2.15412,0.000975773,0.000975773,0.000975773
12,1005.73,1.84649,2.41069,2.10196,0.54943,0.5864,0.6178,0.47082,1.96503,2.10318,2.13029,0.000970736,0.000970736,0.000970736
13,1089.36,1.81961,2.32137,2.09435,0.61271,0.61322,0.64942,0.49595,1.87273,2.05998,2.08272,0.000965239,0.000965239,0.000965239
14,1174.69,1.80417,2.26904,2.10422,0.59035,0.61349,0.65337,0.49795,1.88754,2.02955,2.16742,0.000959289,0.000959289,0.000959289
15,1257.85,1.77503,2.20252,2.08517,0.61069,0.68827,0.70085,0.53605,1.8384,1.87288,2.13335,0.000952889,0.000952889,0.000952889
16,1340.56,1.77629,2.13629,2.08249,0.6515,0.66068,0.69277,0.53257,1.78988,1.82297,2.0604,0.000946048,0.000946048,0.000946048
17,1423.59,1.76983,2.12815,2.07921,0.65322,0.70528,0.72204,0.56014,1.75874,1.72222,2.03951,0.000938772,0.000938772,0.000938772
18,1507.2,1.75996,2.10665,2.07109,0.68228,0.69241,0.72839,0.56409,1.77029,1.68739,2.09415,0.000931067,0.000931067,0.000931067
19,1590.34,1.73688,2.06611,2.06556,0.66379,0.69706,0.72321,0.57164,1.68214,1.70075,2.00575,0.000922942,0.000922942,0.000922942
20,1673.43,1.73307,2.00886,2.06888,0.67744,0.70375,0.72733,0.58303,1.59954,1.67163,1.97324,0.000914405,0.000914405,0.000914405
21,1757.21,1.70549,1.95603,2.05259,0.67697,0.73211,0.74132,0.59121,1.59069,1.5999,1.96259,0.000905463,0.000905463,0.000905463
22,1840.51,1.71084,1.93957,2.05316,0.68884,0.70633,0.72871,0.57205,1.66687,1.60607,2.00463,0.000896127,0.000896127,0.000896127
23,1923.9,1.67855,1.93951,2.02518,0.69479,0.72827,0.73189,0.5875,1.61457,1.58706,1.96355,0.000886404,0.000886404,0.000886404
24,2006.37,1.70052,1.90697,2.0345,0.70086,0.71416,0.74173,0.59222,1.58202,1.52463,1.97197,0.000876305,0.000876305,0.000876305
25,2088.8,1.66425,1.84684,2.02056,0.65744,0.74991,0.72991,0.57288,1.67045,1.63365,2.00088,0.000865839,0.000865839,0.000865839
26,2170.69,1.65649,1.85144,2.01425,0.67764,0.74523,0.74205,0.60333,1.47971,1.53435,1.91251,0.000855018,0.000855018,0.000855018
27,2253.93,1.64077,1.82703,2.0026,0.69859,0.76125,0.76188,0.62014,1.47662,1.49792,1.90764,0.000843851,0.000843851,0.000843851
28,2337.32,1.65484,1.81273,2.01582,0.68978,0.74124,0.74821,0.61913,1.46505,1.51893,1.90246,0.000832349,0.000832349,0.000832349
29,2418.81,1.63872,1.80073,2.01632,0.70845,0.76128,0.773,0.62054,1.56223,1.43021,1.94762,0.000820525,0.000820525,0.000820525
30,2501.17,1.60582,1.75007,1.98805,0.70356,0.77475,0.76998,0.61319,1.60347,1.40243,1.948,0.000808389,0.000808389,0.000808389
31,2584.49,1.60957,1.73932,1.99238,0.70947,0.79568,0.78328,0.64605,1.43574,1.32297,1.89611,0.000795954,0.000795954,0.000795954
32,2667.67,1.60712,1.72535,1.99582,0.73208,0.76364,0.77315,0.63595,1.42908,1.3206,1.88051,0.000783231,0.000783231,0.000783231
33,2750.35,1.592,1.68646,1.97927,0.73239,0.75451,0.77616,0.63589,1.44873,1.33184,1.89422,0.000770234,0.000770234,0.000770234
34,2832.85,1.60623,1.69977,2.00023,0.70468,0.78688,0.78121,0.64681,1.41227,1.31955,1.87523,0.000756976,0.000756976,0.000756976
35,2917.24,1.60369,1.69189,1.98526,0.75746,0.76503,0.78882,0.65776,1.419,1.2724,1.88081,0.000743468,0.000743468,0.000743468
36,2999.31,1.5732,1.65011,1.9773,0.73273,0.79333,0.7763,0.64369,1.39916,1.31653,1.87233,0.000729725,0.000729725,0.000729725
37,3082.61,1.5749,1.63575,1.96894,0.71921,0.81144,0.79176,0.64588,1.41688,1.3157,1.8847,0.000715761,0.000715761,0.000715761
38,3164.84,1.56341,1.61161,1.96661,0.74162,0.7782,0.7934,0.65408,1.41457,1.27504,1.87554,0.000701588,0.000701588,0.000701588
39,3248.04,1.5598,1.61396,1.97598,0.75649,0.75759,0.80324,0.66352,1.41846,1.23151,1.87721,0.000687222,0.000687222,0.000687222
40,3331.44,1.57642,1.61759,1.9711,0.70084,0.84029,0.79157,0.65681,1.39623,1.22925,1.86875,0.000672675,0.000672675,0.000672675
41,3413.35,1.53465,1.55794,1.96183,0.74527,0.80894,0.79832,0.66644,1.38007,1.2191,1.85945,0.000657963,0.000657963,0.000657963
42,3495.52,1.54223,1.55861,1.95753,0.75947,0.82135,0.80451,0.67092,1.34819,1.19564,1.84471,0.000643101,0.000643101,0.000643101
43,3578.33,1.54602,1.54427,1.96836,0.7561,0.82023,0.81214,0.67448,1.38045,1.18643,1.85756,0.000628101,0.000628101,0.000628101
44,3661.32,1.52525,1.54417,1.95705,0.75061,0.80579,0.81241,0.67888,1.34805,1.1784,1.84538,0.000612981,0.000612981,0.000612981
45,3743.64,1.53312,1.5181,1.95055,0.75599,0.81896,0.8045,0.67243,1.34941,1.16918,1.84532,0.000597754,0.000597754,0.000597754
46,3826.58,1.52178,1.52318,1.95056,0.74979,0.83266,0.7987,0.66008,1.40367,1.17008,1.8674,0.000582435,0.000582435,0.000582435
47,3909.41,1.49394,1.48542,1.93797,0.73293,0.83574,0.81145,0.67804,1.34605,1.13743,1.84699,0.00056704,0.00056704,0.00056704
48,3992.08,1.49302,1.45573,1.93806,0.73875,0.84358,0.81137,0.67545,1.34923,1.15848,1.84835,0.000551584,0.000551584,0.000551584
