epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.327,2.13816,14.258,2.30713,0.28652,0.20004,0.15624,0.0977,2.18551,9.40869,2.37327,0.0671364,0.000331956,0.000331956
2,264.027,2.23796,4.37758,2.37168,0.35051,0.4043,0.27954,0.19445,2.10051,3.9059,2.35001,0.0341362,0.000665127,0.000665127
3,384.344,2.12731,3.96588,2.32425,0.27667,0.38938,0.29429,0.21568,2.04389,4.0729,2.28682,0.00113539,0.000997647,0.000997647
4,505.386,2.12379,3.67087,2.34142,0.34868,0.43116,0.29964,0.20261,2.20039,5.84412,2.39668,0.000997803,0.000997803,0.000997803
5,633.691,2.04944,3.35671,2.30904,0.44897,0.47609,0.43201,0.31745,2.01932,3.13561,2.27519,0.000996097,0.000996097,0.000996097
6,754.328,1.96601,3.05062,2.26043,0.57136,0.55598,0.54754,0.40751,1.8795,2.754,2.18202,0.000993906,0.000993906,0.000993906
7,874.762,1.94155,2.7749,2.24528,0.57228,0.60955,0.58397,0.44619,1.82007,2.3214,2.19129,0.000991232,0.000991232,0.000991232
8,995.306,1.89678,2.6237,2.21546,0.53169,0.61715,0.59237,0.46252,1.72141,2.36155,2.11075,0.000988079,0.000988079,0.000988079
9,1115.69,1.87118,2.43684,2.20442,0.62651,0.67519,0.66968,0.51248,1.81767,2.0501,2.16408,0.000984449,0.000984449,0.000984449
10,1236.49,1.84941,2.31119,2.18929,0.61116,0.66954,0.65882,0.5024,1.87902,2.04912,2.20468,0.000980345,0.000980345,0.000980345
11,1356.96,1.83599,2.24015,2.19531,0.69372,0.65489,0.69528,0.52628,1.87455,1.9031,2.21388,0.000975773,0.000975773,0.000975773
12,1477.79,1.79872,2.08398,2.16992,0.67286,0.73556,0.7419,0.57584,1.77281,1.70722,2.11502,0.000970736,0.000970736,0.000970736
13,1598.5,1.77987,2.06315,2.15918,0.65059,0.75608,0.75514,0.5868,1.7619,1.64232,2.13745,0.000965239,0.000965239,0.000965239
14,1730.46,1.76198,2.02596,2.15438,0.72086,0.71501,0.74956,0.56324,1.92301,1.77183,2.24313,0.000959289,0.000959289,0.000959289
15,1851.06,1.7444,1.95944,2.13932,0.69138,0.76072,0.75759,0.57929,1.86214,1.63633,2.23565,0.000952889,0.000952889,0.000952889
16,1971.04,1.75432,1.95821,2.14545,0.70062,0.78211,0.75769,0.57672,1.81337,1.60188,2.16958,0.000946048,0.000946048,0.000946048
17,2102.33,1.71993,1.86055,2.12457,0.70659,0.77483,0.7802,0.59847,1.77918,1.48345,2.16448,0.000938772,0.000938772,0.000938772
18,2222.64,1.74045,1.85924,2.12671,0.75906,0.76903,0.79154,0.60787,1.8616,1.47696,2.16252,0.000931067,0.000931067,0.000931067
